XYDATA
! 11BM APS Si SRM 640d
! File no. =              6098 
! No. steps =             34500 
! Scan time =             AUG 15, 2014 21:05
! Sample name =     	  NIST SRM 640d (Si)
! Composition =           Silicon (Si)
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.6 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   1.004  
! Monitor I0 [0] =        86940.6  
! Monitor I1 [0] =        71229.8  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_6097_2thcorr.calib 
! 2Theta correction subtracted 
! Normalization factor  = 7.8467 
! Calibrated wavelength = 0.413848 
! Fullprof format INSTRM=10 (x, y, sigma)
INTER 1.0 1.0  2 0.00100
! ---------------------------------------
! degrees       intensity        sigma
0.68698       316.6335        25.9079
0.68798       300.4175        25.2403
0.68898       280.1665        24.3753
0.68998       334.8691        26.4857
0.69098       306.9935        25.3832
0.69198       299.5846        25.1368
0.69298       349.3544        27.1529
0.69397       330.9383        26.4924
0.69497       295.4056        25.0262
0.69597       335.9741        26.5957
0.69697       328.9254        26.3443
0.69797       310.4431        25.6138
0.69897       269.7367        23.8517
0.69997       312.2333        25.6262
0.70097       325.9794        26.2360
0.70197       305.9239        25.4895
0.70297       298.5155        25.0854
0.70397       288.8236        24.7149
0.70497       298.7758        25.2223
0.70597       297.4087        25.1587
0.70697       323.6159        26.1068
0.70797       324.2690        26.1127
0.70897       319.4790        25.9952
0.70997       300.2106        25.1583
0.71097       320.1101        25.9678
0.71197       308.7685        25.5907
0.71297       315.7991        25.8894
0.71397       310.9634        25.7048
0.71497       317.0852        25.9053
0.71597       347.4288        27.0844
0.71697       336.3998        26.6407
0.71797       327.5647        26.3606
0.71897       329.6659        26.4486
0.71997       335.8225        26.6426
0.72097       308.2986        25.4476
0.72197       301.2509        25.2153
0.72297       279.6352        24.2919
0.72397       292.9877        24.8939
0.72497       320.2221        26.0322
0.72597       273.1545        24.0521
0.72697       264.5013        23.7535
0.72797       287.5118        24.7963
0.72897       313.3916        25.7624
0.72997       294.6274        24.9416
0.73097       320.6582        26.0450
0.73197       312.0255        25.7072
0.73297       314.6791        25.7994
0.73397       264.2870        23.6496
0.73497       296.5038        25.0680
0.73597       320.6896        26.0559
0.73697       301.5155        25.2952
0.73797       308.2342        25.5633
0.73897       319.4825        26.0584
0.73997       321.5668        26.0609
0.74097       305.0152        25.4080
0.74197       287.7380        24.7385
0.74297       283.4937        24.5160
0.74397       264.0858        23.6681
0.74497       284.3214        24.5172
0.74597       282.0305        24.4340
0.74697       280.9222        24.4232
0.74797       290.3272        24.8356
0.74897       253.5982        23.1856
0.74997       287.0581        24.5622
0.75097       316.5191        25.7800
0.75197       318.1667        25.9358
0.75297       306.7843        25.5216
0.75397       305.1266        25.4156
0.75497       273.7283        24.0948
0.75597       278.1114        24.2775
0.75697       278.2025        24.3158
0.75797       301.3615        25.3073
0.75897       281.7044        24.4605
0.75997       279.7470        24.3495
0.76097       285.5666        24.5834
0.76197       308.8715        25.5727
0.76297       294.6077        24.9998
0.76397       252.9713        23.2065
0.76497       276.5867        24.2316
0.76597       263.1110        23.6550
0.76697       299.3060        25.2651
0.76797       280.1949        24.4379
0.76897       310.6943        25.7089
0.76997       301.9854        25.2766
0.77097       283.1870        24.5036
0.77196       324.4937        26.1954
0.77296       287.5477        24.6731
0.77396       308.0357        25.5954
0.77496       306.3805        25.3624
0.77596       298.9048        25.1100
0.77696       313.7389        25.7846
0.77796       324.6198        26.2955
0.77896       295.5519        25.0548
0.77996       299.4780        25.1399
0.78096       311.0568        25.6521
0.78196       300.3877        25.2106
0.78296       345.2629        27.0244
0.78396       339.0344        26.8091
0.78496       331.5737        26.5164
0.78596       316.5721        25.8154
