XYDATA
! Title:  11BM APS ZnO
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! Run no. =               4715 
! No. steps =             34500 
! Scan time =             MAY 31, 2014 23:52
! Sample name =     	  NIST SRM 674b (ZnO)
! Composition =           Zinc Oxide
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.0 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   1.025  
! Monitor I0 [0] =        89933.5  
! Monitor I1 [0] =        73484.6  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted 
! Normalization factor  = 8.1812 
! Calibrated wavelength = 0.413671 
!  
! 2theta, intensity, sigma(intensity)
2.185971 104.001643 13.723110
2.186971 115.100083 14.443710
2.187971 113.212327 14.211295
2.188971 119.275223 14.660216
2.189971 108.730949 13.922124
2.190970 113.934907 14.273470
2.191970 105.932340 13.733279
2.192970 117.679169 14.447274
2.193970 110.483075 13.946636
2.194970 118.574839 14.610049
2.195970 100.879273 13.425373
2.196969 107.011342 13.739842
2.197969 105.758981 13.798971
2.198969 101.273221 13.413823
2.199969 107.350997 13.858333
2.200969 111.895469 14.113864
2.201969 107.896727 13.919086
2.202969 104.130277 13.605558
2.203968 82.194087 12.142943
2.204968 90.355129 12.669431
2.205968 98.305318 13.258047
2.206968 86.697157 12.512099
2.207968 95.527245 13.128646
2.208968 115.829704 14.417334
2.209967 101.782836 13.392759
2.210967 121.718257 14.634380
2.211967 111.886041 14.173344
2.212967 98.458422 13.267550
2.213967 86.290047 12.440658
2.214967 98.276153 13.356085
2.215966 97.313423 13.264807
2.216966 99.927084 13.364228
2.217966 111.339277 14.033735
2.218966 116.799611 14.493147
2.219966 121.536076 14.800311
2.220966 110.581130 14.085995
2.221966 81.032218 12.120297
2.222965 90.806973 12.825944
2.223965 123.274992 14.949681
2.224965 122.000745 14.787103
2.225965 113.118222 14.213780
2.226965 104.004587 13.700528
2.227965 120.754203 14.726369
2.228964 99.374225 13.342482
2.229964 114.255604 14.294327
2.230964 90.926862 12.696586
2.231964 105.339711 13.661707
2.232964 116.097480 14.477582
2.233964 119.201442 14.658133
2.234964 108.491744 14.048554
2.235963 102.287436 13.494253
2.236963 84.739202 12.291615
2.237963 88.398074 12.587988
2.238963 89.569027 12.655354
2.239963 99.454296 13.260991
2.240963 132.235205 15.408406
2.241962 114.582165 14.342845
2.242962 102.502056 13.563231
2.243962 120.723019 14.752641
2.244962 103.520367 13.579440
2.245962 117.945450 14.484498
2.246962 111.996884 14.195778
2.247962 136.187713 15.631540
2.248961 111.165593 13.993553
2.249961 101.487764 13.453593
2.250961 114.577135 14.358878
2.251961 105.268844 13.735246
2.252961 109.112394 13.996792
2.253961 102.047900 13.489440
2.254960 108.040907 13.924664
2.255960 113.638101 14.265278
2.256960 111.088543 14.064540
2.257960 82.003089 12.134130
2.258960 100.609320 13.470782
2.259960 118.622109 14.680696
2.260960 104.308695 13.743424
2.261959 105.952059 13.794116
2.262959 106.843509 13.857747
2.263959 106.479622 13.860064
2.264959 132.327193 15.331086
2.265959 101.406813 13.397246
2.266959 109.149078 13.970115
2.267958 114.132302 14.367009
2.268958 111.232230 14.105682
2.269958 114.043446 14.217842
2.270958 119.415170 14.616198
2.271958 114.147153 14.142892
2.272958 102.377313 13.545685
2.273957 97.074621 13.160065
2.274957 96.709094 13.049759
2.275957 108.468334 13.899783
2.276957 107.505618 13.799959
2.277957 99.007445 13.252072
2.278957 98.040771 13.280699
2.279957 97.832553 13.118759
2.280956 86.357351 12.303407
2.281956 88.057989 12.438004
2.282956 110.003278 14.041076
2.283956 102.563795 13.545639
2.284956 80.108153 11.967008
2.285956 97.255544 13.233649
2.286955 104.258378 13.652840
2.287955 90.368918 12.703309
2.288955 107.970773 13.927998
2.289955 111.362935 14.008325
2.290955 109.311411 13.962470
2.291955 125.282935 15.081186
2.292955 102.855542 13.634965
2.293954 95.869498 13.091568
