XYDATA
! Title:  11BM APS CeO2  
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4717
! No. steps =             34500
! Scan time =             JUN 01, 2014 01:51
! Sample name =           NIST SRM 674b (CeO2)
! Composition =           Cerium(IV) oxide 
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.0
! 2theta step (deg) =     0.001
! Time per step (sec) =   0.1
! 100/Ring Current[0] =   0.982 
! Monitor I0 [0] =        92926.4 
! Monitor I1 [0] =        75877.3 
! Gonio._radius [mm] =    1000.0
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted
! Calibrated wavelength = 0.413671
! Normalization factor  = 8.3538
!  
! 2theta, intensity, sigma(intensity)
2.186971 113.528071 14.028032
2.187971 110.937017 13.889422
2.188971 117.243535 14.456493
2.189971 110.507042 13.984444
2.190970 104.973236 13.606140
2.191970 107.576616 13.815680
2.192970 114.023925 14.136478
2.193970 104.850036 13.591907
2.194970 114.524455 14.313592
2.195970 114.621564 14.275026
2.196969 94.882636 12.971434
2.197969 102.870298 13.475256
2.198969 108.009237 13.750918
2.199969 97.248012 12.933204
2.200969 135.090631 15.293069
2.201969 94.510033 12.938297
2.202969 100.779605 13.322695
2.203968 112.195034 14.080166
2.204968 102.078874 13.402820
2.205968 95.739156 12.886298
2.206968 95.820828 12.918261
2.207968 89.585516 12.568310
2.208968 107.723867 13.758841
2.209967 109.005353 13.895716
2.210967 111.413553 14.062059
2.211967 120.012624 14.488108
2.212967 99.606162 13.191856
2.213967 104.719125 13.517171
2.214967 131.332881 15.170283
2.215966 100.417493 13.206457
2.216966 108.771365 13.738608
2.217966 87.134475 12.458223
2.218966 94.887943 12.923822
2.219966 111.101364 14.014362
2.220966 110.276737 13.923103
2.221966 122.913903 14.764884
2.222965 100.344527 13.241836
2.223965 103.782311 13.515262
2.224965 105.196692 13.715489
2.225965 97.051175 13.163780
2.226965 103.367258 13.548386
2.227965 102.721419 13.559329
2.228964 93.398055 12.901254
2.229964 95.297311 12.945606
2.230964 98.811178 13.171053
2.231964 83.871548 12.124328
2.232964 97.435589 12.976623
2.233964 110.448051 14.005018
2.234964 102.298871 13.382403
2.235963 104.166715 13.467057
2.236963 103.990209 13.494070
2.237963 115.590872 14.292817
2.238963 95.632280 13.033338
2.239963 97.126570 13.044148
2.240963 91.624739 12.706524
2.241962 101.330171 13.394473
2.242962 100.947177 13.342353
2.243962 102.654938 13.499724
2.244962 117.720490 14.544259
2.245962 114.904123 14.232888
2.246962 102.467192 13.407872
2.247962 111.136392 14.019650
2.248961 118.431575 14.396014
2.249961 117.151253 14.339332
2.250961 98.752508 13.249757
2.251961 81.943749 11.908385
2.252961 95.920776 12.900629
2.253961 100.605415 13.366039
2.254960 107.754953 13.824612
2.255960 79.519116 11.924886
2.256960 115.370973 14.267563
2.257960 93.307325 12.804061
2.258960 105.745759 13.600505
2.259960 104.690376 13.515176
2.260960 104.361351 13.488776
2.261959 105.198693 13.651581
2.262959 96.391927 13.097981
2.263959 103.842863 13.566846
2.264959 94.060981 12.905983
2.265959 113.628735 14.225565
2.266959 96.701409 13.048493
2.267958 108.269829 13.737684
2.268958 92.742759 12.739873
2.269958 80.006724 11.891924
2.270958 91.872014 12.743547
2.271958 76.010743 11.443173
2.272958 79.364320 11.705190
2.273957 114.368500 14.141912
2.274957 90.223064 12.573419
2.275957 107.241688 13.696078
2.276957 96.022145 12.992157
2.277957 90.089984 12.601639
2.278957 95.734447 13.025106
2.279957 114.461991 14.140189
2.280956 110.015037 13.897593
2.281956 99.333309 13.273159
2.282956 104.541161 13.506063
2.283956 110.770393 13.903540
2.284956 82.264644 11.998884
2.285956 76.260749 11.555633
2.286955 83.872703 12.016396
2.287955 101.944396 13.369288
2.288955 71.342308 11.209653
2.289955 93.055864 12.782389
2.290955 93.387907 12.752687
2.291955 84.190393 12.209701
2.292955 83.609940 12.114839
2.293954 92.156414 12.722802
