XYDATA
! Title:  11BM APS CeO2  
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4717
! No. steps =             34500
! Scan time =             JUN 01, 2014 01:51
! Sample name =           NIST SRM 674b (CeO2)
! Composition =           Cerium(IV) oxide 
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.0
! 2theta step (deg) =     0.001
! Time per step (sec) =   0.1
! 100/Ring Current[0] =   0.982 
! Monitor I0 [0] =        92926.4 
! Monitor I1 [0] =        75877.3 
! Gonio._radius [mm] =    1000.0
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted
! Calibrated wavelength = 0.413671
! Normalization factor  = 8.3538
!  
! 2theta, intensity, sigma(intensity)
2.730887 69.073231 10.980372
2.731886 86.354579 12.322895
2.732886 83.308102 12.117403
2.733886 100.708787 13.379798
2.734886 84.053348 12.196054
2.735886 105.872781 13.681491
2.736886 88.886393 12.568958
2.737886 82.302727 12.044615
2.738885 87.714782 12.410589
2.739885 96.390141 13.015872
2.740885 94.459049 12.894476
2.741885 87.732213 12.383266
2.742885 86.145604 12.278754
2.743885 89.794363 12.678286
2.744884 91.591579 12.704146
2.745884 75.015102 11.468501
2.746884 74.567580 11.519171
2.747884 99.510696 13.252276
2.748884 89.247391 12.442687
2.749884 99.927594 13.237725
2.750884 88.079600 12.485590
2.751883 73.374013 11.418903
2.752883 88.759002 12.571568
2.753883 99.100381 13.210986
2.754883 85.777155 12.279144
2.755883 73.572839 11.391352
2.756883 71.400240 11.212589
2.757882 96.938533 13.108948
2.758882 84.303446 12.188997
2.759882 88.826449 12.438186
2.760882 74.020089 11.437801
2.761882 92.023196 12.754254
2.762882 95.735218 13.057850
2.763881 89.797981 12.637473
2.764881 97.039543 13.076271
2.765881 71.739076 11.283085
2.766881 66.641892 10.880322
2.767881 84.395014 12.183843
2.768881 106.170994 13.751653
2.769881 84.507131 12.255531
2.770880 79.185153 11.774882
2.771880 98.345891 13.181134
2.772880 79.504252 11.920438
2.773880 106.112622 13.741728
2.774880 101.950738 13.436163
