XYDATA
! Title:  From feb10/11bmb_4918.mda processed @ 10-02-26 15:06 
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Run no. =               4918 
! No. steps =             34000 
! Scan time =             FEB 25, 2010 17:14:00.580709 
! Sample name =           Silicon (Si), NIST SRM 640c
! Chemical formula =      Si
! Start 2theta =          -6.0 
! End 2theta =            28.0 
! 2theta step=            0.001 
! Time per step =         0.1 
! Intensity scale =       5889.56694072 
! Calibration file =      feb10/11bmb_4917.calib 
! Calibrated wavelength = 0.412359 
!  
! 2theta, intensity, sigma(intensity)
0.693000 541.159680 34.030642
0.694000 587.952810 35.358179
0.695000 589.260549 35.513807
0.696000 534.752797 33.868297
0.697000 554.793282 34.410700
0.698000 621.346112 36.398734
0.699000 592.214404 35.544691
0.700000 594.829654 35.585419
0.701000 556.665105 34.453587
0.702000 536.147169 33.872398
0.703000 558.141831 34.569086
0.704000 589.636411 35.602839
0.705000 565.445677 34.847794
0.706000 577.488217 35.195754
0.707000 579.615036 35.216419
0.708000 558.447533 34.566083
0.709000 505.790160 32.865315
0.710000 575.980465 35.015425
0.711000 529.475424 33.640835
0.712000 538.596735 33.915831
0.713000 564.688452 34.723722
0.714000 530.879578 33.607837
0.715000 540.982997 33.916263
0.716000 579.260446 35.203173
0.717000 519.133575 33.263966
0.718000 503.863202 32.818580
0.719000 557.473593 34.460101
0.720000 543.429128 34.006629
0.721000 542.178708 33.987311
0.722000 536.439941 33.861038
0.723000 510.779411 33.066480
0.724000 554.234842 34.416282
0.725000 470.637788 31.591072
0.726000 484.379573 32.072576
0.727000 540.822533 33.940930
0.728000 528.309796 33.499139
0.729000 535.895913 33.904389
0.730000 516.315127 33.098336
0.731000 562.305342 34.639617
0.732000 501.946496 32.748494
0.733000 533.607817 33.676151
0.734000 496.281172 32.433680
0.735000 557.296366 34.471624
0.736000 555.074059 34.423183
0.737000 533.265361 33.749110
0.738000 543.047178 33.950764
0.739000 532.776787 33.703833
0.740000 505.376719 32.793482
0.741000 473.426328 31.834015
0.742000 527.126696 33.492848
0.743000 550.843711 34.335088
0.744000 498.372508 32.672105
0.745000 565.396149 34.738260
0.746000 570.969893 34.895037
0.747000 544.675164 34.102659
0.748000 517.050448 33.250492
0.749000 530.673329 33.589038
0.750000 514.328692 33.049736
0.751000 537.362999 33.866127
0.752000 505.599487 32.842436
0.753000 487.134143 32.214509
0.754000 495.313221 32.515985
0.755000 521.296888 33.291270
0.756000 520.045068 33.299491
0.757000 466.688268 31.549576
0.758000 499.799838 32.771191
0.759000 518.670427 33.300775
0.760000 468.151188 31.525184
0.761000 508.590837 32.981592
0.762000 492.651691 32.445331
0.763000 493.527504 32.410107
0.764000 506.042147 32.775194
0.765000 510.708804 33.008407
0.766000 482.641017 32.103336
0.767000 480.021593 32.032684
0.768000 528.578595 33.597649
0.769000 494.073687 32.504119
0.770000 473.714268 31.798382
0.771000 459.250199 31.203979
0.772000 500.245598 32.751534
0.773000 487.285304 32.274971
0.774000 481.483927 32.070962
0.775000 447.508555 30.807418
0.776000 486.276596 32.229016
0.777000 469.414018 31.656624
0.778000 512.470159 33.131685
0.779000 526.788562 33.530842
0.780000 482.225259 31.962545
0.781000 524.694539 33.463106
0.782000 498.564350 32.627179
0.783000 462.033846 31.427732
0.784000 426.459323 30.080885
0.785000 436.684476 30.365398
0.786000 477.781757 31.988454
0.787000 515.969097 33.196813
0.788000 470.007883 31.661050
0.789000 490.680030 32.352291
0.790000 509.395465 32.961866
0.791000 470.769610 31.610271
0.792000 450.174744 31.047635
0.793000 462.411460 31.368494
0.794000 478.042692 31.961219
0.795000 487.853377 32.291560
0.796000 467.034093 31.641553
0.797000 452.312374 31.046078
0.798000 397.255093 29.079525
0.799000 440.817349 30.669904
0.800000 457.875139 31.203520
0.801000 474.286506 31.843034
0.802000 477.503769 31.900370
0.803000 501.069403 32.650857
0.804000 467.364610 31.551853
0.805000 550.061874 34.234623
0.806000 475.622167 31.833661
0.807000 488.487664 32.329085
0.808000 439.566988 30.679646
0.809000 483.246329 32.140579
0.810000 468.131561 31.576878
0.811000 446.164379 30.878368
0.812000 435.818834 30.462900
0.813000 440.835565 30.588870
0.814000 444.300798 30.824308
0.815000 448.338755 31.003708
0.816000 485.874541 32.196510
0.817000 468.631568 31.678940
0.818000 409.919048 29.640118
0.819000 471.942898 31.783028
0.820000 471.706869 31.764710
0.821000 420.933180 30.011126
0.822000 469.798995 31.783669
0.823000 487.825765 32.244880
0.824000 437.723376 30.545683
0.825000 466.059795 31.580321
0.826000 433.666734 30.388986
0.827000 446.214211 30.826914
0.828000 445.002726 30.773850
0.829000 429.380056 30.351355
0.830000 463.012726 31.408858
0.831000 468.875561 31.642722
0.832000 431.700904 30.375609
0.833000 430.907798 30.386442
0.834000 416.081676 29.879340
0.835000 475.042054 31.832561
0.836000 483.733946 32.117126
0.837000 482.322582 32.072174
0.838000 463.952030 31.578790
0.839000 456.321798 31.321651
0.840000 420.016235 29.894206
0.841000 398.601159 29.090283
0.842000 420.861727 30.014321
0.843000 482.975352 32.178274
0.844000 417.217197 29.847785
0.845000 460.204325 31.263716
0.846000 492.312174 32.466469
0.847000 454.805825 31.181163
0.848000 444.487441 30.789962
0.849000 442.772405 30.769983
0.850000 455.724996 31.190652
0.851000 452.351556 31.057951
0.852000 446.299088 30.852262
0.853000 412.528293 29.543752
0.854000 457.285981 31.139218
0.855000 435.327706 30.407203
0.856000 494.105934 32.502806
0.857000 433.624758 30.413023
0.858000 392.198605 28.912151
0.859000 424.499093 30.069038
0.860000 411.268614 29.648385
0.861000 405.076820 29.368381
0.862000 466.295408 31.571868
0.863000 417.766540 29.852225
0.864000 404.504628 29.370228
0.865000 451.477132 30.991486
0.866000 446.780436 30.862308
0.867000 430.118191 30.334541
0.868000 414.582346 29.755637
0.869000 415.588243 29.809292
0.870000 445.471459 30.786268
0.871000 448.129015 30.862033
0.872000 399.173790 29.166151
0.873000 441.073754 30.641183
0.874000 439.789394 30.671334
0.875000 410.765954 29.676944
0.876000 445.113041 30.827712
0.877000 405.334389 29.373866
0.878000 446.948669 30.899285
0.879000 442.117240 30.751803
0.880000 469.189306 31.700042
0.881000 439.151540 30.680859
0.882000 447.228466 30.897666
0.883000 428.231802 30.217510
0.884000 436.991175 30.582582
0.885000 431.442617 30.303293
0.886000 463.104225 31.397818
0.887000 465.379777 31.473168
0.888000 414.283115 29.680367
0.889000 430.953732 30.378364
0.890000 409.516540 29.548024
0.891000 419.709809 29.918681
0.892000 421.371660 30.084757
0.893000 455.946431 31.211266
0.894000 392.630969 28.936042
0.895000 412.236936 29.693630
0.896000 407.937098 29.590384
0.897000 404.561324 29.388079
0.898000 414.210536 29.699156
0.899000 426.213363 30.186119
0.900000 431.570443 30.388251
0.901000 406.695356 29.522327
0.902000 409.086189 29.653668
0.903000 407.044598 29.487328
0.904000 386.504597 28.715726
0.905000 412.273922 29.688770
0.906000 414.907589 29.871403
0.907000 415.072842 29.721030
0.908000 397.795653 29.196262
0.909000 352.609628 27.537527
0.910000 360.921281 27.679755
0.911000 446.583713 30.788957
0.912000 419.388690 29.899894
0.913000 398.220665 29.122804
0.914000 431.987203 30.407663
0.915000 413.614791 29.618022
0.916000 419.350555 29.963707
0.917000 316.035667 25.955145
0.918000 357.953250 27.498925
0.919000 403.198293 29.347013
0.920000 401.071181 29.117675
0.921000 385.610014 28.650892
0.922000 374.132555 28.272618
0.923000 404.898772 29.398611
0.924000 372.218172 28.202103
0.925000 374.933656 28.267958
0.926000 401.902776 29.280662
0.927000 383.904435 28.607979
0.928000 421.641946 30.023879
0.929000 381.968091 28.503716
0.930000 425.252584 30.078913
0.931000 441.173336 30.702756
0.932000 415.612354 29.778562
0.933000 404.565301 29.340181
0.934000 418.713320 29.904876
0.935000 421.912291 30.081521
0.936000 387.460732 28.802525
0.937000 366.728843 27.959920
0.938000 427.928268 30.284643
0.939000 358.196198 27.705648
0.940000 355.020206 27.506154
0.941000 378.841911 28.564027
0.942000 406.898579 29.503308
0.943000 425.921026 30.147341
0.944000 430.113757 30.328430
0.945000 387.639242 28.695188
0.946000 369.641726 28.047637
0.947000 364.879564 27.973292
0.948000 378.650222 28.424514
0.949000 339.762093 26.890777
0.950000 375.955948 28.329357
0.951000 403.535214 29.396381
0.952000 433.613905 30.471966
0.953000 397.471041 29.204562
0.954000 415.913434 29.785057
0.955000 393.216319 28.974486
0.956000 381.890505 28.498717
0.957000 396.208033 29.097295
0.958000 391.087454 28.934353
0.959000 401.053497 29.167972
0.960000 434.393973 30.431892
0.961000 413.967709 29.800571
0.962000 383.149688 28.600439
0.963000 391.759389 28.930246
0.964000 384.295375 28.605181
0.965000 363.037743 27.756171
0.966000 422.488563 29.976597
0.967000 404.098392 29.316707
0.968000 380.843814 28.401860
0.969000 389.596485 28.836198
0.970000 390.458175 28.855061
0.971000 421.788553 29.976782
0.972000 392.177968 28.891228
0.973000 372.867558 28.217491
0.974000 385.297711 28.675129
0.975000 387.441201 28.734062
0.976000 434.479368 30.517192
0.977000 375.051022 28.282531
0.978000 381.851316 28.552769
0.979000 354.533378 27.427600
0.980000 371.926281 28.189865
0.981000 386.461123 28.746424
0.982000 398.097719 29.205909
0.983000 352.607814 27.446665
0.984000 347.866108 27.196555
0.985000 355.328511 27.489875
0.986000 376.483571 28.263035
0.987000 390.225969 28.896677
0.988000 318.739484 26.127129
0.989000 381.285520 28.521612
0.990000 336.447866 26.744072
0.991000 375.015541 28.290509
0.992000 397.223877 29.126551
0.993000 360.095995 27.642617
0.994000 354.613969 27.478448
0.995000 357.907199 27.583925
0.996000 372.038988 28.195497
