XYDATA
! Title: 11BM APS Cr2O3 SRM 674b
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4716
! No. steps =             34500
! Scan time =             JUN 01, 2014 00:52
! Sample name =     	   NIST SRM 674b (Cr2O3)
! Composition =            Chromium(III) oxide
! Sample Comment =         0.8 mm dia Kapton
! Temp (K) =              295.0
! 2theta step (deg) =     0.001
! Time per step (sec) =   0.1
! 100/Ring Current[0] =   0.984 
! Monitor I0 [0] =        92666.8 
! Monitor I1 [0] =        75642.1 
! Gonio._radius [mm] =    1000.0
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted
! Normalization factor  = 8.3664
! Calibrated wavelength = 0.413671
!  
! 2theta, intensity, sigma(intensity)
2.185971 120.953628 14.593718
2.186971 128.502504 15.064022
2.187971 133.683609 15.371393
2.188971 134.992568 15.355715
2.189971 127.748824 15.010349
2.190970 115.128343 14.247387
2.191970 123.736473 14.761377
2.192970 105.072779 13.596077
2.193970 115.900834 14.284614
2.194970 128.342513 15.085026
2.195970 124.768497 14.849275
2.196969 109.795491 13.991904
2.197969 125.881656 14.917509
2.198969 135.424645 15.455545
2.199969 130.560690 15.209408
2.200969 126.987794 14.786188
2.201969 134.044516 15.256453
2.202969 115.291227 14.149419
2.203968 126.181799 14.863826
2.204968 144.291702 15.953751
2.205968 133.868629 15.420277
2.206968 113.699774 14.073588
2.207968 118.165812 14.464281
2.208968 110.936306 13.987608
2.209967 113.044585 14.165765
2.210967 131.258111 15.229884
2.211967 132.113295 15.205360
2.212967 120.086292 14.500075
2.213967 136.228610 15.455605
2.214967 131.283017 15.238760
2.215966 139.192696 15.618904
2.216966 149.505579 16.276446
2.217966 137.020333 15.454915
2.218966 132.799197 15.219048
2.219966 127.204730 15.025009
2.220966 134.092477 15.298388
2.221966 124.096656 14.822346
2.222965 104.047543 13.467096
2.223965 118.757155 14.324015
2.224965 124.302427 14.850795
2.225965 123.858494 14.874636
2.226965 110.806560 13.983445
2.227965 111.295209 13.986326
2.228964 116.395575 14.320646
2.229964 126.488278 14.806089
2.230964 116.090400 14.266396
2.231964 110.334424 13.960127
2.232964 126.105528 14.930680
2.233964 131.326019 15.254178
2.234964 147.433094 15.959951
2.235963 121.850468 14.676197
2.236963 130.782894 15.217729
2.237963 145.675843 16.089146
2.238963 119.909920 14.610295
2.239963 112.552166 14.114503
2.240963 115.854199 14.354007
2.241962 130.556180 15.120071
2.242962 95.470518 13.083654
2.243962 114.168645 14.283281
2.244962 105.156811 13.583993
2.245962 132.538387 15.188661
2.246962 112.685507 14.054597
2.247962 118.602693 14.480011
2.248961 133.411637 15.324966
2.249961 130.695417 15.237160
2.250961 117.837325 14.460330
2.251961 133.484240 15.313645
2.252961 131.853816 15.184743
2.253961 112.545088 14.078402
2.254960 121.835515 14.609086
2.255960 161.296237 16.746845
2.256960 103.699428 13.555518
2.257960 125.942425 14.985639
2.258960 128.785368 14.908789
2.259960 124.474981 14.737659
2.260960 130.981789 15.159762
2.261959 110.501288 13.961722
2.262959 103.218157 13.557425
2.263959 126.115713 14.885307
2.264959 124.936278 14.713026
2.265959 144.984216 15.926281
2.266959 123.805471 14.834489
2.267958 98.580241 13.281437
2.268958 112.085889 14.096050
2.269958 125.518587 14.886852
2.270958 144.208579 15.951127
2.271958 129.864256 15.161641
2.272958 129.173156 15.157641
2.273957 120.811098 14.575482
2.274957 98.040256 13.155189
