XYDATA
! Title: NAC /nov12/11bmb_1804
! Run no. =               1804 
! No. steps =             54000 
! Scan time =             NOV 29, 2012 18:07:11.025644 
! Sample Comment =        NAC 
! User sample name =      1.5 mm diameter 
! Composition =           Na2Ca3Al2F14
! Temp (K) =              298.0 
! Start 2theta (deg) =    -16.0 
! End 2theta (deg) =      38.0 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! Intensity scale =       9383.82768362 
! Calibration file =      11bmb_1800_2thcorrected.calib 
! 2Theta correction subtracted 
! Calibrated wavelength = 0.413909
! Fullprof format INSTRM=10 (x, y, sigma)
INTER 1.0 1.0  2 0.00100
! ---------------------------------------
! degrees       intensity        sigma
0.68898       283.9629        17.5014
0.68998       308.2369        18.2031
0.69098       307.3071        18.3049
0.69198       331.7599        18.9166
0.69298       301.1524        18.0617
0.69397       288.8592        17.7556
0.69497       283.4939        17.5179
0.69597       298.6305        18.0060
0.69697       319.3676        18.6636
0.69797       348.2125        19.3289
0.69897       324.5444        18.7396
0.69997       320.1877        18.6113
0.70097       337.2554        19.1507
0.70197       312.2584        18.3475
0.70297       331.5067        18.9837
0.70397       350.4729        19.5286
0.70497       342.3135        19.2594
0.70597       329.3427        18.8591
0.70697       310.2997        18.3005
0.70797       327.0240        18.8701
0.70897       318.2076        18.6032
0.70997       316.4965        18.4434
0.71097       320.1139        18.5508
0.71197       314.6269        18.5200
0.71297       330.5535        18.9483
0.71397       338.9262        19.1335
0.71497       295.7488        17.9537
0.71597       302.8309        18.0864
0.71697       317.2716        18.5900
0.71797       329.1347        18.8764
0.71897       350.4101        19.5757
0.71997       353.8912        19.6585
0.72097       318.6111        18.6287
0.72197       316.4502        18.4466
0.72297       319.6234        18.5587
0.72397       320.9700        18.6386
0.72497       319.9400        18.5027
0.72597       348.1478        19.4199
0.72697       340.4210        19.2256
0.72797       344.5453        19.3681
0.72897       345.0049        19.3218
0.72997       336.7044        19.0688
0.73097       320.2118        18.5656
0.73197       325.8239        18.6720
0.73297       316.0190        18.6281
0.73397       322.4820        18.7822
0.73497       328.8767        18.8773
0.73597       314.8045        18.4418
0.73697       321.3417        18.7196
0.73797       320.1639        18.6229
0.73897       316.1317        18.5084
0.73997       312.4808        18.4294
0.74097       322.6065        18.7622
0.74197       313.3230        18.3636
0.74297       337.1779        19.1196
0.74397       327.7480        18.8957
0.74497       329.6891        18.8895
0.74597       328.0382        18.7822
0.74697       329.5889        18.8646
0.74797       324.5770        18.8026
0.74897       331.1123        18.9738
0.74997       337.1717        19.1332
0.75097       336.7394        19.1544
0.75197       310.5484        18.3232
0.75297       338.8704        19.1721
0.75397       353.5518        19.5865
0.75497       337.3070        19.1633
0.75597       332.4203        19.0571
0.75697       355.6609        19.6372
0.75797       325.8995        18.8285
0.75897       351.3638        19.5844
0.75997       388.8769        20.6448
0.76097       352.7323        19.5289
0.76197       323.6094        18.7415
0.76297       337.1178        19.1747
0.76397       345.7623        19.3527
0.76497       351.8535        19.4697
0.76597       357.4905        19.7213
0.76697       354.6270        19.6432
0.76797       319.3079        18.6013
0.76897       318.2536        18.6249
0.76997       338.5352        19.2187
0.77096       331.4114        18.9412
0.77196       348.6253        19.4865
0.77296       341.7283        19.3231
0.77396       342.7219        19.2675
0.77496       313.4319        18.3876
0.77596       344.8663        19.2365
0.77696       349.9695        19.4504
0.77796       337.0007        19.0593
0.77896       325.5654        18.7457
0.77996       331.6418        18.8927
0.78096       326.8643        18.8369
0.78196       337.5298        19.1738
0.78296       340.1483        19.1985
0.78396       324.7552        18.7530
0.78496       329.2909        18.8502
0.78596       334.7709        18.9630
0.78696       323.6669        18.6941
0.78796       329.4184        18.8581
0.78896       347.9546        19.3771
0.78996       360.0366        19.8281
0.79096       352.4628        19.5867
0.79196       357.2851        19.7157
0.79296       340.3077        19.2019
0.79396       330.6346        18.9444
0.79496       317.1873        18.4694
0.79596       346.1051        19.3219
0.79696       317.7531        18.5700
0.79796       342.1942        19.2565
0.79896       325.7301        18.7639
0.79996       332.0061        18.9427
0.80096       323.0210        18.6645
0.80196       324.1999        18.7346
0.80296       324.3313        18.7169
0.80396       351.2556        19.5162
0.80496       342.7859        19.1251
0.80596       330.4028        18.8303
0.80696       331.0664        18.9662
0.80796       333.4151        19.0183
0.80896       326.2434        18.7307
0.80996       336.7800        19.1267
0.81096       327.0520        18.8099
0.81196       325.1327        18.8096
0.81296       339.0291        19.2573
0.81396       340.8355        19.2581
0.81496       329.3189        18.8696
0.81596       335.9873        19.1422
0.81696       337.6321        19.2774
0.81796       345.9687        19.4320
0.81896       363.9287        19.8629
0.81996       330.8322        18.8718
0.82096       358.0620        19.7023
0.82196       337.5540        19.1475
0.82296       322.8737        18.6837
0.82396       347.1885        19.4279
0.82496       356.9261        19.6761
0.82596       351.0977        19.5298
0.82696       356.1691        19.6625
0.82796       358.3017        19.7579
0.82896       324.9244        18.8301
0.82996       337.8089        19.1534
0.83096       332.6595        18.9894
0.83196       353.7393        19.6489
0.83296       333.2799        19.0385
0.83396       316.5580        18.5728
0.83496       326.7820        18.8284
0.83596       323.1784        18.7507
0.83696       332.6350        18.9504
0.83796       328.2261        18.8601
0.83896       324.9740        18.7634
0.83996       338.8289        19.1626
0.84096       316.7510        18.5292
0.84196       314.0385        18.4597
0.84296       331.9353        18.9562
0.84396       332.8918        19.0389
0.84496       319.5986        18.5727
0.84596       328.6777        18.8980
0.84696       316.8165        18.6196
0.84796       341.0739        19.2344
0.84895       336.4460        19.0596
0.84995       334.8208        19.0420
0.85095       343.7118        19.2951
0.85195       342.0074        19.3287
0.85295       356.1526        19.7402
0.85395       345.2034        19.4189
0.85495       334.7963        19.0733
0.85595       325.4157        18.7417
0.85695       338.3574        19.1024
0.85795       324.0121        18.7056
0.85895       336.4067        19.0985
0.85995       343.2621        19.3016
0.86095       342.2787        19.3192
0.86195       321.6000        18.7107
0.86295       342.7279        19.3286
0.86395       328.7570        18.9089
0.86495       333.5376        18.9942
0.86595       335.3236        19.0186
0.86695       334.5183        19.0609
0.86795       338.7058        19.1859
0.86895       344.7410        19.3738
0.86995       331.0441        19.0130
0.87095       324.3624        18.8697
0.87195       349.1883        19.4646
0.87295       349.0200        19.5194
0.87395       350.7079        19.5933
0.87495       326.1649        18.8196
0.87595       320.8565        18.6383
0.87695       353.9230        19.6229
0.87795       333.4376        18.9510
0.87895       336.0917        19.0480
0.87995       347.9091        19.4700
0.88095       336.7127        19.2008
0.88195       349.3222        19.5213
0.88295       343.3035        19.3362
0.88395       323.4413        18.7629
0.88495       310.6258        18.3194
0.88595       320.3320        18.6219
0.88695       348.6617        19.5246
0.88795       340.9739        19.2891
0.88895       322.4973        18.7310
0.88995       340.4826        19.2826
0.89095       369.8203        20.1048
0.89195       332.8356        19.0338
0.89295       349.5385        19.4747
0.89395       368.2281        19.9326
0.89495       341.7692        19.1809
0.89595       335.3950        19.1167
0.89695       322.8740        18.7064
0.89795       351.3453        19.5429
0.89895       347.7512        19.3934
0.89995       340.7099        19.2252
0.90095       331.2597        19.0175
0.90195       311.3685        18.3908
0.90295       320.9434        18.7333
0.90395       341.7520        19.2605
0.90495       351.9946        19.4899
0.90595       335.6596        18.9778
0.90695       336.2863        19.0569
0.90795       341.0511        19.2203
0.90895       334.1386        19.0588
0.90995       331.7224        18.9545
0.91095       329.4554        18.9185
0.91195       333.3004        19.0445
0.91295       344.1326        19.3749
0.91395       335.5442        19.1571
0.91495       327.0494        18.8610
