XYDATA
! Title: 11-BM data for Al2O3 SRM 676a
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4714 
! No. steps =             34500 
! Scan time =             MAY 31, 2014 22:53 
! Sample name =     	  NIST SRM 676a (Al2O3) 
! Composition =           Aluminium Oxide (Al2O3)
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.6 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   0.983  
! Monitor I0 [0] =        92715.5  
! Monitor I1 [0] =        75723.2  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_4699_2thcorr.calib 
! 2Theta correction subtracted 
! Normalization factor  = 8.3433 
! Calibrated wavelength = 0.413671 
!  
! 2theta, intensity, sigma(intensity)
2.184971 119.095259 14.394057
2.185971 119.145937 14.502826
2.186971 135.519576 15.498334
2.187971 136.248439 15.464052
2.188971 147.031735 16.024541
2.189971 148.094008 16.068107
2.190970 126.119741 14.935071
2.191970 139.223013 15.713220
2.192970 124.523104 14.847997
2.193970 130.636711 15.119965
2.194970 141.050775 15.712669
2.195970 115.300317 14.245743
2.196969 140.478640 15.738925
2.197969 141.413555 15.760879
2.198969 140.362420 15.809161
2.199969 125.777682 14.803479
2.200969 124.178371 14.826124
2.201969 140.388209 15.655368
2.202969 127.653958 14.916538
2.203968 143.893732 15.815886
2.204968 142.154909 15.759332
2.205968 131.773987 15.191604
2.206968 125.915323 14.788646
2.207968 124.243866 14.718800
2.208968 133.995806 15.190628
2.209967 120.834967 14.558603
2.210967 137.385904 15.546321
2.211967 134.392860 15.463728
2.212967 144.452530 15.897261
2.213967 135.680326 15.499685
2.214967 146.120885 16.036942
2.215966 121.152541 14.663913
2.216966 115.360217 14.310519
2.217966 122.272927 14.638553
2.218966 124.485915 14.800732
2.219966 117.426923 14.305486
2.220966 109.379951 13.892890
2.221966 135.552885 15.502770
2.222965 159.512723 16.750091
2.223965 161.769857 16.836883
2.224965 117.089097 14.361777
2.225965 152.862470 16.484052
2.226965 147.793701 16.226968
2.227965 131.114036 15.219948
2.228964 117.469469 14.404010
2.229964 126.820288 14.938254
2.230964 132.072656 15.338897
2.231964 113.932226 14.160881
2.232964 128.369429 14.977281
2.233964 123.006891 14.670199
2.234964 124.630565 14.757916
2.235963 135.630689 15.391638
2.236963 143.979815 15.904660
2.237963 116.215962 14.325698
2.238963 113.007077 14.134096
2.239963 124.612497 14.875386
2.240963 135.098270 15.426244
2.241962 128.560717 15.066275
2.242962 131.586747 15.179227
2.243962 124.446305 14.776389
2.244962 103.564804 13.593854
2.245962 115.655070 14.285414
2.246962 118.382217 14.489340
2.247962 130.074553 15.109599
2.248961 143.744682 15.775502
2.249961 129.850935 15.027440
2.250961 122.736165 14.743133
2.251961 120.396821 14.605531
2.252961 102.915661 13.464254
2.253961 108.850257 13.788151
2.254960 110.587455 13.926787
2.255960 93.451858 12.717376
2.256960 141.065209 15.740898
2.257960 139.655088 15.669718
2.258960 133.210898 15.327167
2.259960 130.116352 15.179027
2.260960 134.015447 15.264219
2.261959 151.290392 16.276708
2.262959 132.162543 15.320953
2.263959 120.714210 14.354094
2.264959 118.287453 14.263374
2.265959 127.665085 15.027938
2.266959 128.977028 15.068991
2.267958 121.667459 14.680118
2.268958 132.500008 15.305100
2.269958 128.989046 15.104110
2.270958 154.796117 16.549463
2.271958 156.206338 16.449730
2.272958 139.424956 15.654622
2.273957 143.311369 15.929881
2.274957 104.401270 13.596367
2.275957 121.118164 14.617163
2.276957 139.121040 15.616313
2.277957 120.533451 14.599978
2.278957 112.024529 13.976482
2.279957 112.716842 14.028494
2.280956 126.625561 14.882800
2.281956 123.161794 14.613938
2.282956 128.378846 15.010596
2.283956 114.270751 14.170419
